 Range , Year_0 , Year_1 , Year_2 , Year_3 , Year_4 , Year_5 , Year_6 , Year_7 , Year_8 , Year_9 , Year_10 , Year_11 , Year_12 
" < 1,000 miles "," 2,760.00 "," 2,760.00 "," 2,760.00 "," 2,760.00 "," 4,141.00 "," 4,141.00 "," 4,141.00 "," 4,141.00 "," 6,901.00 "," 5,521.00 "," 6,901.00 "," 8,281.00 "," 8,281.00 "
" 1 - 2,000 miles "," 2,760.00 "," 2,760.00 "," 2,760.00 "," 4,141.00 "," 4,141.00 "," 2,760.00 "," 4,141.00 "," 4,141.00 "," 5,521.00 "," 4,141.00 "," 5,521.00 "," 6,901.00 "," 6,901.00 "
" 2 - 4,000 miles "," 9,662.00 "," 9,662.00 "," 11,042.00 "," 9,662.00 "," 8,281.00 "," 9,662.00 "," 9,662.00 "," 9,662.00 "," 12,422.00 "," 12,422.00 "," 11,042.00 "," 16,563.00 "," 16,563.00 "
" 4 - 6,000 miles "," 12,422.00 "," 12,422.00 "," 15,183.00 "," 15,183.00 "," 11,042.00 "," 11,042.00 "," 12,422.00 "," 13,802.00 "," 13,802.00 "," 16,563.00 "," 15,183.00 "," 17,943.00 "," 17,943.00 "
" 6 - 8,000 miles "," 13,802.00 "," 13,802.00 "," 13,802.00 "," 15,183.00 "," 13,802.00 "," 15,183.00 "," 15,183.00 "," 15,183.00 "," 17,943.00 "," 16,563.00 "," 16,563.00 "," 17,943.00 "," 17,943.00 "
" 8 - 10,000 miles "," 15,183.00 "," 15,183.00 "," 17,943.00 "," 16,563.00 "," 16,563.00 "," 17,943.00 "," 16,563.00 "," 17,943.00 "," 16,563.00 "," 15,183.00 "," 16,563.00 "," 16,563.00 "," 16,563.00 "
" 10 - 12,000 miles "," 15,183.00 "," 15,183.00 "," 15,183.00 "," 16,563.00 "," 15,183.00 "," 16,563.00 "," 16,563.00 "," 16,563.00 "," 13,802.00 "," 15,183.00 "," 13,802.00 "," 13,802.00 "," 13,802.00 "
" 12 - 15,000 miles "," 19,323.00 "," 19,323.00 "," 17,943.00 "," 20,703.00 "," 20,703.00 "," 17,943.00 "," 20,703.00 "," 19,323.00 "," 17,943.00 "," 17,943.00 "," 17,943.00 "," 15,183.00 "," 15,183.00 "
" 15 - 20,000 miles "," 20,703.00 "," 20,703.00 "," 20,703.00 "," 19,323.00 "," 23,464.00 "," 22,084.00 "," 17,943.00 "," 19,323.00 "," 16,563.00 "," 17,943.00 "," 16,563.00 "," 13,802.00 "," 13,802.00 "
" 20 - 30,000 miles "," 17,943.00 "," 17,943.00 "," 13,802.00 "," 15,183.00 "," 15,183.00 "," 16,563.00 "," 15,183.00 "," 12,422.00 "," 12,422.00 "," 12,422.00 "," 13,802.00 "," 8,281.00 "," 8,281.00 "
" >30,000 miles "," 8,282.00 "," 8,282.00 "," 6,902.00 "," 4,141.00 "," 5,521.00 "," 5,521.00 "," 5,521.00 "," 5,521.00 "," 4,141.00 "," 5,521.00 "," 4,141.00 "," 4,141.00 "," 4,141.00 "
